"Año-Mes","Ejercicio","Mes","Código","Nombre Cuenta","Naturaleza","Saldo Anterior","Saldo Final","Δ Saldos","Mov Cargo","Mov Abono","Mov Neto","Diferencia","Abs Diff","Categoría","Pólizas relacionadas"
"2025-12","2025","12","410000200000000000002","VENTAS AL 0%","acreedora","9197304.62","10041981.76","844677.14","10041981.76","844677.14","-9197304.62","10041981.76","10041981.76","Cierre ejercicio (Dic/Ene)","ingreso#13 2025-12-16 | ingreso#14 2025-12-17 | ingreso#5 2025-12-06 | ingreso#6 2025-12-08 | ingreso#7 2025-12-09 | diario#3 2025-12-31 | ingreso#1 2025-12-01 | ingreso#2 2025-12-02 | ingreso#3 2025-12-03 | ingreso#4 2025-12-05 | ingreso#8 2025-12-10 | ingreso#9 2025-12-11 | ingreso#10 2025-12-12 | ingreso#11 2025-12-13 | ingreso#12 2025-12-15 | ingreso#15 2025-12-18 | ingreso#16 2025-12-19 | ingreso#17 2025-12-20 | ingreso#18 2025-12-22 | ingreso#19 2025-12-24 | ingreso#20 2025-12-26 | ingreso#21 2025-12-27 | ingreso#22 2025-12-29 | ingreso#23 2025-12-30 | ingreso#24 2025-12-31"
"2026-01","2026","1","410000200000000000002","VENTAS AL 0%","acreedora","10041981.76","793034.33","-9248947.43","0.00","793034.33","793034.33","-10041981.76","10041981.76","Cierre ejercicio (Dic/Ene)","ingreso#1 2026-01-03 | ingreso#12 2026-01-20 | ingreso#2 2026-01-05 | ingreso#3 2026-01-06 | ingreso#4 2026-01-07 | ingreso#5 2026-01-08 | ingreso#6 2026-01-09 | ingreso#7 2026-01-10 | ingreso#8 2026-01-12 | ingreso#9 2026-01-14 | ingreso#10 2026-01-17 | ingreso#11 2026-01-19 | ingreso#13 2026-01-21 | ingreso#14 2026-01-22 | ingreso#15 2026-01-23 | ingreso#16 2026-01-24 | ingreso#17 2026-01-26 | ingreso#18 2026-01-27 | ingreso#19 2026-01-28 | ingreso#20 2026-01-29 | ingreso#21 2026-01-30 | ingreso#22 2026-01-31"
"2024-12","2024","12","410000200000000000002","VENTAS AL 0%","acreedora","7559627.12","8639972.02","1080344.90","8639972.02","1080344.90","-7559627.12","8639972.02","8639972.02","Cierre ejercicio (Dic/Ene)","ingreso#17 2024-12-26 | diario#4 2024-12-31 | ingreso#1 2024-12-02 | ingreso#2 2024-12-04 | ingreso#3 2024-12-05 | ingreso#4 2024-12-06 | ingreso#5 2024-12-09 | ingreso#6 2024-12-10 | ingreso#7 2024-12-11 | ingreso#8 2024-12-12 | ingreso#9 2024-12-14 | ingreso#10 2024-12-16 | ingreso#11 2024-12-17 | ingreso#12 2024-12-18 | ingreso#13 2024-12-19 | ingreso#14 2024-12-21 | ingreso#15 2024-12-23 | ingreso#16 2024-12-24 | ingreso#18 2024-12-28 | ingreso#19 2024-12-30 | ingreso#20 2024-12-31"
"2025-01","2025","1","410000200000000000002","VENTAS AL 0%","acreedora","8639972.02","797777.22","-7842194.80","0.00","797777.22","797777.22","-8639972.02","8639972.02","Cierre ejercicio (Dic/Ene)","ingreso#1 2025-01-02 | ingreso#2 2025-01-03 | ingreso#3 2025-01-04 | ingreso#4 2025-01-06 | ingreso#5 2025-01-08 | ingreso#6 2025-01-09 | ingreso#7 2025-01-11 | ingreso#8 2025-01-13 | ingreso#9 2025-01-14 | ingreso#10 2025-01-15 | ingreso#11 2025-01-16 | ingreso#12 2025-01-17 | ingreso#13 2025-01-18 | ingreso#15 2025-01-22 | ingreso#14 2025-01-20 | ingreso#16 2025-01-22 | ingreso#17 2025-01-23 | ingreso#18 2025-01-25 | ingreso#19 2025-01-29 | ingreso#20 2025-01-31 | ingreso#21 2025-01-31"
"2025-12","2025","12","500000100000000000002","COSTO DE VENTAS","deudora","6740611.88","7271093.43","530481.55","530481.55","7271093.43","-6740611.88","7271093.43","7271093.43","Cierre ejercicio (Dic/Ene)","egreso#11 2025-12-08 | egreso#14 2025-12-08 | egreso#15 2025-12-08 | diario#100001 2025-12-01 | diario#100013 2025-12-08 | diario#10 2025-12-04 | egreso#54 2025-12-19 | egreso#55 2025-12-19 | egreso#59 2025-12-22 | egreso#63 2025-12-23 | egreso#87 2025-12-30 | egreso#89 2025-12-30 | egreso#90 2025-12-30 | diario#100027 2025-12-16 | diario#100028 2025-12-16 | diario#100030 2025-12-16 | diario#3 2025-12-31 | egreso#1 2025-12-02 | egreso#2 2025-12-02 | egreso#6 2025-12-04 | egreso#7 2025-12-04 | egreso#19 2025-12-09 | egreso#20 2025-12-09 | egreso#21 2025-12-10 | egreso#23 2025-12-11 | egreso#26 2025-12-12 | egreso#27 2025-12-12 | egreso#28 2025-12-12 | egreso#34 2025-12-15 | egreso#35 2025-12-15 | egreso#36 2025-12-15 | egreso#38 2025-12-15 | diario#100014 2025-12-08 | diario#100015 2025-12-08 | diario#100016 2025-12-09 | diario#100017 2025-12-10 | diario#6 2025-12-02 | diario#15 2025-12-06 | diario#18 2025-12-09 | diario#21 2025-12-10 | diario#24 2025-12-11 | diario#26 2025-12-12 | egreso#42 2025-12-17 | egreso#44 2025-12-18 | egreso#45 2025-12-18 | egreso#48 2025-12-18 | egreso#49 2025-12-18 | egreso#51 2025-12-19 | egreso#52 2025-12-19 | egreso#53 2025-12-19 | egreso#66 2025-12-23 | egreso#72 2025-12-27 | egreso#73 2025-12-27 | egreso#75 2025-12-27 | egreso#83 2025-12-30 | egreso#84 2025-12-30 | diario#100037 2025-12-19 | diario#100044 2025-12-23 | diario#100046 2025-12-23 | diario#100047 2025-12-23 | diario#100055 2025-12-29 | diario#100057 2025-12-29 | diario#100059 2025-12-29 | diario#35 2025-12-18 | diario#37 2025-12-19 | diario#40 2025-12-22 | diario#43 2025-12-23 | diario#47 2025-12-26 | diario#49 2025-12-28 | diario#52 2025-12-30 | diario#100056 2025-12-29 | diario#100045 2025-12-23 | diario#100026 2025-12-16 | egreso#92 2025-12-30 | egreso#94 2025-12-31 | diario#100062 2025-12-31 | diario#53 2025-12-31"
"2026-01","2026","1","500000100000000000002","COSTO DE VENTAS","deudora","7271093.43","430463.60","-6840629.83","430986.80","523.20","430463.60","-7271093.43","7271093.43","Cierre ejercicio (Dic/Ene)","egreso#18 2026-01-12 | egreso#21 2026-01-14 | egreso#23 2026-01-15 | egreso#27 2026-01-19 | egreso#32 2026-01-19 | diario#100028 2026-01-12 | diario#100036 2026-01-19 | diario#100037 2026-01-19 | diario#100038 2026-01-19 | diario#100040 2026-01-19 | diario#100041 2026-01-19 | egreso#69 2026-01-30 | egreso#73 2026-01-31 | diario#2 2026-01-02 | diario#32 2026-01-22 | egreso#5 2026-01-05 | egreso#6 2026-01-06 | egreso#8 2026-01-07 | egreso#12 2026-01-08 | egreso#14 2026-01-09 | diario#100013 2026-01-06 | diario#100014 2026-01-06 | diario#100021 2026-01-12 | diario#100022 2026-01-12 | diario#100024 2026-01-12 | diario#100025 2026-01-12 | diario#4 2026-01-03 | diario#10 2026-01-07 | diario#14 2026-01-09 | diario#19 2026-01-12 | diario#20 2026-01-13 | diario#22 2026-01-14 | egreso#33 2026-01-20 | egreso#35 2026-01-21 | egreso#36 2026-01-21 | egreso#40 2026-01-22 | egreso#42 2026-01-23 | egreso#45 2026-01-23 | egreso#46 2026-01-23 | egreso#52 2026-01-26 | egreso#53 2026-01-26 | egreso#54 2026-01-27 | egreso#55 2026-01-27 | egreso#56 2026-01-27 | egreso#60 2026-01-29 | egreso#62 2026-01-29 | egreso#63 2026-01-29 | diario#100023 2026-01-12 | diario#100048 2026-01-24 | diario#100051 2026-01-26 | diario#100052 2026-01-26 | diario#100054 2026-01-26 | diario#35 2026-01-23 | diario#40 2026-01-28 | diario#100053 2026-01-26 | diario#100061 2026-01-30 | diario#100065 2026-01-31 | diario#100066 2026-01-31 | egreso#65 2026-01-29 | egreso#68 2026-01-30 | diario#42 2026-01-29 | diario#45 2026-01-30 | diario#47 2026-01-31 | diario#100043 2026-01-22 | diario#100060 2026-01-30"
"2024-12","2024","12","500000100000000000002","COSTO DE VENTAS","deudora","5354824.67","6343754.48","988929.81","991597.37","6346422.04","-5354824.67","6343754.48","6343754.48","Cierre ejercicio (Dic/Ene)","diario#100030 2024-12-13 | diario#100037 2024-12-17 | diario#100040 2024-12-17 | diario#100041 2024-12-17 | diario#100042 2024-12-17 | diario#100043 2024-12-17 | diario#100044 2024-12-17 | diario#100045 2024-12-17 | diario#100046 2024-12-17 | diario#100047 2024-12-17 | diario#100048 2024-12-17 | diario#100049 2024-12-17 | diario#100050 2024-12-17 | diario#100051 2024-12-17 | diario#100021 2024-12-09 | diario#100070 2024-12-24 | diario#100072 2024-12-26 | diario#100073 2024-12-27 | diario#100075 2024-12-27 | diario#100082 2024-12-30 | egreso#66 2024-12-30 | egreso#67 2024-12-31 | diario#100057 2024-12-20 | diario#100083 2024-12-30 | diario#100084 2024-12-30 | diario#100085 2024-12-30 | egreso#74 2024-12-31 | diario#100020 2024-12-09 | diario#100022 2024-12-09 | diario#100023 2024-12-09 | diario#100024 2024-12-09 | diario#100025 2024-12-09 | diario#100026 2024-12-09 | diario#100027 2024-12-09 | diario#100029 2024-12-13 | diario#47 2024-12-18 | egreso#1 2024-12-01 | egreso#6 2024-12-04 | egreso#7 2024-12-04 | egreso#11 2024-12-09 | egreso#12 2024-12-09 | egreso#13 2024-12-09 | egreso#18 2024-12-09 | egreso#19 2024-12-11 | egreso#23 2024-12-12 | egreso#24 2024-12-12 | egreso#29 2024-12-17 | egreso#30 2024-12-17 | egreso#32 2024-12-17 | egreso#33 2024-12-17 | egreso#36 2024-12-18 | egreso#37 2024-12-18 | diario#100001 2024-12-02 | diario#100002 2024-12-02 | diario#100003 2024-12-02 | diario#100005 2024-12-03 | diario#100008 2024-12-03 | diario#100009 2024-12-05 | diario#100011 2024-12-06 | diario#100015 2024-12-09 | diario#100018 2024-12-09 | diario#100019 2024-12-09 | diario#9 2024-12-05 | egreso#39 2024-12-19 | egreso#44 2024-12-26 | egreso#51 2024-12-28 | diario#100054 2024-12-20 | diario#100058 2024-12-20 | diario#100065 2024-12-23 | diario#100066 2024-12-23 | diario#100067 2024-12-23 | diario#100068 2024-12-23 | diario#100069 2024-12-23 | egreso#53 2024-12-30 | egreso#54 2024-12-30 | egreso#56 2024-12-30 | egreso#57 2024-12-30 | diario#100038 2024-12-17 | diario#100039 2024-12-17 | egreso#58 2024-12-30 | egreso#59 2024-12-30 | egreso#60 2024-12-30 | egreso#61 2024-12-30 | egreso#64 2024-12-30 | egreso#65 2024-12-30 | diario#100086 2024-12-31 | diario#100088 2024-12-31 | diario#100089 2024-12-31 | diario#100090 2024-12-31 | diario#100091 2024-12-31 | diario#100092 2024-12-31 | diario#100093 2024-12-31 | diario#100094 2024-12-31 | diario#100095 2024-12-31 | diario#100096 2024-12-31 | diario#100099 2024-12-31 | diario#100062 2024-12-23 | diario#100074 2024-12-27 | diario#42 2024-12-19 | diario#43 2024-12-21 | diario#44 2024-12-30 | diario#4 2024-12-31"
"2025-01","2025","1","500000100000000000002","COSTO DE VENTAS","deudora","6343754.48","643424.43","-5700330.05","643424.43","0.00","643424.43","-6343754.48","6343754.48","Cierre ejercicio (Dic/Ene)","egreso#5 2025-01-07 | egreso#6 2025-01-07 | egreso#7 2025-01-08 | egreso#8 2025-01-08 | egreso#9 2025-01-09 | egreso#12 2025-01-09 | egreso#13 2025-01-09 | egreso#14 2025-01-09 | egreso#16 2025-01-10 | egreso#22 2025-01-15 | egreso#23 2025-01-15 | egreso#26 2025-01-15 | egreso#27 2025-01-16 | egreso#28 2025-01-16 | egreso#29 2025-01-16 | egreso#30 2025-01-16 | egreso#33 2025-01-17 | diario#100003 2025-01-06 | diario#100004 2025-01-06 | diario#100005 2025-01-06 | diario#100006 2025-01-06 | diario#100008 2025-01-06 | diario#100021 2025-01-07 | diario#100023 2025-01-10 | diario#100025 2025-01-10 | diario#100026 2025-01-10 | diario#100027 2025-01-10 | diario#100028 2025-01-10 | diario#100029 2025-01-10 | diario#100030 2025-01-10 | diario#100032 2025-01-13 | diario#100033 2025-01-13 | diario#100059 2025-01-17 | egreso#2 2025-01-04 | egreso#1 2025-01-03 | diario#100060 2025-01-17 | diario#100061 2025-01-17 | diario#100048 2025-01-13 | diario#100049 2025-01-13 | diario#100051 2025-01-14 | diario#100057 2025-01-16 | diario#100034 2025-01-13 | diario#100036 2025-01-13 | diario#100038 2025-01-13 | diario#100040 2025-01-13 | diario#100042 2025-01-13 | diario#100043 2025-01-13 | diario#100044 2025-01-13 | diario#100045 2025-01-13 | diario#100046 2025-01-13 | diario#100047 2025-01-13 | diario#100067 2025-01-20 | diario#21 2025-01-07 | diario#22 2025-01-13 | diario#23 2025-01-13 | diario#24 2025-01-14 | diario#25 2025-01-20 | diario#26 2025-01-21 | egreso#39 2025-01-22 | egreso#41 2025-01-22 | egreso#45 2025-01-22 | egreso#46 2025-01-23 | egreso#47 2025-01-23 | egreso#50 2025-01-24 | egreso#51 2025-01-24 | egreso#52 2025-01-24 | egreso#53 2025-01-24 | egreso#57 2025-01-28 | egreso#58 2025-01-29 | egreso#59 2025-01-29 | egreso#60 2025-01-29 | egreso#61 2025-01-29 | egreso#62 2025-01-30 | egreso#63 2025-01-30 | diario#100002 2025-01-03 | diario#100024 2025-01-10 | diario#100058 2025-01-17 | diario#100071 2025-01-23 | diario#100073 2025-01-23 | diario#100074 2025-01-23 | diario#100075 2025-01-24 | diario#100076 2025-01-24 | diario#100080 2025-01-27 | diario#100088 2025-01-27 | diario#100092 2025-01-28 | diario#100094 2025-01-30 | diario#100095 2025-01-30 | diario#100096 2025-01-30 | diario#100097 2025-01-31 | diario#100098 2025-01-31 | diario#43 2025-01-23 | diario#44 2025-01-24 | diario#46 2025-01-28"
"2023-12","2023","12","410000200000000000002","VENTAS AL 0%","acreedora","1415545.41","2039385.94","623840.53","2039385.94","623840.53","-1415545.41","2039385.94","2039385.94","Cierre ejercicio (Dic/Ene)","ingreso#1 2023-12-02 | ingreso#2 2023-12-04 | ingreso#3 2023-12-05 | ingreso#4 2023-12-06 | ingreso#5 2023-12-07 | ingreso#6 2023-12-08 | ingreso#7 2023-12-09 | ingreso#8 2023-12-11 | ingreso#9 2023-12-12 | ingreso#10 2023-12-13 | ingreso#11 2023-12-14 | ingreso#12 2023-12-15 | ingreso#13 2023-12-16 | ingreso#14 2023-12-18 | ingreso#15 2023-12-19 | ingreso#16 2023-12-20 | ingreso#17 2023-12-21 | diario#2 2023-12-31 | ingreso#18 2023-12-22 | ingreso#19 2023-12-23 | ingreso#20 2023-12-26 | ingreso#21 2023-12-27 | ingreso#22 2023-12-28 | ingreso#23 2023-12-30"
"2024-01","2024","1","410000200000000000002","VENTAS AL 0%","acreedora","2039385.94","476350.62","-1563035.32","0.00","476350.62","476350.62","-2039385.94","2039385.94","Cierre ejercicio (Dic/Ene)","ingreso#1 2024-01-02 | ingreso#2 2024-01-03 | ingreso#3 2024-01-04 | ingreso#4 2024-01-06 | ingreso#5 2024-01-08 | ingreso#6 2024-01-09 | ingreso#7 2024-01-10 | ingreso#8 2024-01-11 | ingreso#9 2024-01-13 | ingreso#10 2024-01-15 | ingreso#11 2024-01-16 | ingreso#12 2024-01-17 | ingreso#13 2024-01-19 | ingreso#14 2024-01-20 | ingreso#15 2024-01-22 | ingreso#16 2024-01-23 | ingreso#17 2024-01-25 | ingreso#18 2024-01-26 | ingreso#19 2024-01-27 | ingreso#20 2024-01-29 | ingreso#21 2024-01-30 | ingreso#22 2024-01-31"
"2025-12","2025","12","610000100000000000002","SUELDOS Y SALARIOS","deudora","1556462.05","1699254.10","142792.05","142792.05","1699254.10","-1556462.05","1699254.10","1699254.10","Cierre ejercicio (Dic/Ene)","diario#100010 2025-12-06 | diario#3 2025-12-31 | diario#100023 2025-12-13 | diario#100041 2025-12-20 | diario#100048 2025-12-27"
"2026-01","2026","1","610000100000000000002","SUELDOS Y SALARIOS","deudora","1699254.10","221788.15","-1477465.95","221788.15","0.00","221788.15","-1699254.10","1699254.10","Cierre ejercicio (Dic/Ene)","diario#100001 2026-01-03 | diario#100071 2026-01-31 | diario#100031 2026-01-17 | diario#100016 2026-01-10 | diario#100047 2026-01-23"
"2023-12","2023","12","500000100000000000002","COSTO DE VENTAS","deudora","875918.10","1384013.92","508095.82","508095.82","1384013.92","-875918.10","1384013.92","1384013.92","Cierre ejercicio (Dic/Ene)","diario#100002 2023-12-04 | diario#100004 2023-12-05 | diario#100005 2023-12-05 | diario#100006 2023-12-08 | diario#100010 2023-12-13 | diario#100011 2023-12-13 | diario#100012 2023-12-13 | diario#100013 2023-12-13 | diario#100014 2023-12-13 | diario#100015 2023-12-15 | diario#100019 2023-12-19 | diario#100020 2023-12-19 | diario#100021 2023-12-19 | diario#100022 2023-12-19 | diario#100023 2023-12-19 | diario#100026 2023-12-20 | diario#100027 2023-12-22 | diario#100028 2023-12-22 | diario#100030 2023-12-27 | diario#100031 2023-12-27 | diario#100032 2023-12-27 | diario#100033 2023-12-27 | diario#100034 2023-12-27 | diario#100035 2023-12-27 | diario#100036 2023-12-27 | diario#100037 2023-12-27 | diario#100038 2023-12-28 | diario#100043 2023-12-29 | diario#100044 2023-12-30 | diario#13 2023-12-29 | diario#2 2023-12-31"
"2024-01","2024","1","500000100000000000002","COSTO DE VENTAS","deudora","1384013.92","286063.67","-1097950.25","286063.67","0.00","286063.67","-1384013.92","1384013.92","Cierre ejercicio (Dic/Ene)","diario#100001 2024-01-04 | diario#100002 2024-01-08 | diario#100004 2024-01-09 | diario#100005 2024-01-09 | diario#100011 2024-01-10 | diario#100012 2024-01-11 | diario#100013 2024-01-12 | diario#100015 2024-01-15 | diario#100018 2024-01-17 | diario#100019 2024-01-17 | diario#100021 2024-01-19 | diario#100022 2024-01-19 | diario#100025 2024-01-22 | diario#100026 2024-01-22 | diario#100027 2024-01-22 | diario#100028 2024-01-22 | diario#100029 2024-01-22 | diario#100030 2024-01-22 | diario#100032 2024-01-26 | diario#100035 2024-01-30 | diario#100036 2024-01-30 | diario#100038 2024-01-30 | diario#100039 2024-01-30 | diario#100040 2024-01-30 | diario#100041 2024-01-30 | diario#100020 2024-01-18 | diario#21 2024-01-30"
"2024-12","2024","12","610000100000000000002","SUELDOS Y SALARIOS","deudora","1038792.05","1133558.60","94766.55","94766.55","1133558.60","-1038792.05","1133558.60","1133558.60","Cierre ejercicio (Dic/Ene)","diario#100010 2024-12-09 | diario#100032 2024-12-16 | diario#100060 2024-12-23 | diario#100077 2024-12-30 | diario#4 2024-12-31"
"2025-01","2025","1","610000100000000000002","SUELDOS Y SALARIOS","deudora","1133558.60","116593.29","-1016965.31","116593.29","0.00","116593.29","-1133558.60","1133558.60","Cierre ejercicio (Dic/Ene)","diario#100007 2025-01-06 | diario#100031 2025-01-13 | diario#100062 2025-01-20 | diario#100078 2025-01-27"
"2025-12","2025","12","330000300000000000002","EJERCICIO 2025","acreedora","0.00","0.00","0.00","474935.98","0.00","-474935.98","474935.98","474935.98","Cierre ejercicio (Dic/Ene)","diario#3 2025-12-31"
"2026-01","2026","1","330000300000000000002","EJERCICIO 2025","acreedora","0.00","-474935.98","-474935.98","0.00","0.00","0.00","-474935.98","474935.98","Cierre ejercicio (Dic/Ene)",""
"2023-12","2023","12","620000100000000000002","SUELDOS Y SALARIOS","deudora","328205.05","409875.18","81670.13","81670.13","409875.18","-328205.05","409875.18","409875.18","Cierre ejercicio (Dic/Ene)","diario#100001 2023-12-01 | diario#100007 2023-12-08 | diario#100016 2023-12-15 | diario#100029 2023-12-22 | diario#100041 2023-12-29 | diario#2 2023-12-31"
"2024-01","2024","1","620000100000000000002","SUELDOS Y SALARIOS","deudora","409875.18","0.00","-409875.18","0.00","0.00","0.00","-409875.18","409875.18","Cierre ejercicio (Dic/Ene)",""
"2024-01","2024","1","112000100100000000003","BANORTE CTA.1226811847","deudora","5821.30","39771.51","33950.21","249689.45","524478.33","-274788.88","308739.09","308739.09","Cierre ejercicio (Dic/Ene)","diario#100001 2024-01-04 | diario#100002 2024-01-08 | diario#100004 2024-01-09 | diario#100005 2024-01-09 | diario#100006 2024-01-09 | diario#100007 2024-01-09 | diario#100008 2024-01-09 | diario#100009 2024-01-09 | diario#100010 2024-01-09 | diario#100011 2024-01-10 | diario#100012 2024-01-11 | diario#100013 2024-01-12 | diario#100015 2024-01-15 | diario#100016 2024-01-16 | diario#100018 2024-01-17 | diario#100019 2024-01-17 | diario#1 2024-01-02 | diario#100021 2024-01-19 | diario#100022 2024-01-19 | diario#100024 2024-01-22 | diario#100025 2024-01-22 | diario#100026 2024-01-22 | diario#100027 2024-01-22 | diario#100028 2024-01-22 | diario#100029 2024-01-22 | diario#100030 2024-01-22 | diario#100031 2024-01-22 | diario#100003 2024-01-08 | diario#100014 2024-01-15 | diario#100023 2024-01-22 | diario#2 2024-01-03 | diario#4 2024-01-05 | diario#5 2024-01-08 | diario#6 2024-01-09 | diario#7 2024-01-10 | diario#8 2024-01-11 | diario#9 2024-01-12 | diario#10 2024-01-15 | diario#11 2024-01-16 | diario#12 2024-01-18 | diario#13 2024-01-19 | diario#14 2024-01-22 | diario#15 2024-01-23 | diario#16 2024-01-24 | diario#17 2024-01-25 | diario#100032 2024-01-26 | diario#100034 2024-01-29 | diario#100035 2024-01-30 | diario#100036 2024-01-30 | diario#100038 2024-01-30 | diario#100039 2024-01-30 | diario#100040 2024-01-30 | diario#100041 2024-01-30 | diario#100042 2024-01-31 | diario#100017 2024-01-16 | diario#100020 2024-01-18 | diario#100033 2024-01-29 | diario#100037 2024-01-30 | diario#3 2024-01-04 | diario#18 2024-01-26 | diario#20 2024-01-30 | diario#22 2024-01-31 | diario#19 2024-01-29 | diario#100043 2024-01-31"
"2025-12","2025","12","610001700000000000002","CUOTA I.M.S.S.","deudora","252625.77","278428.39","25802.62","25802.62","278428.39","-252625.77","278428.39","278428.39","Cierre ejercicio (Dic/Ene)","diario#3 2025-12-31 | diario#54 2025-12-31"
"2026-01","2026","1","610001700000000000002","CUOTA I.M.S.S.","deudora","278428.39","29998.61","-248429.78","29998.61","0.00","29998.61","-278428.39","278428.39","Cierre ejercicio (Dic/Ene)","diario#48 2026-01-31"
"2024-12","2024","12","610001700000000000002","CUOTA I.M.S.S.","deudora","182156.75","200962.69","18805.94","18805.94","200962.69","-182156.75","200962.69","200962.69","Cierre ejercicio (Dic/Ene)","diario#49 2024-12-31 | diario#4 2024-12-31"
"2025-01","2025","1","610001700000000000002","CUOTA I.M.S.S.","deudora","200962.69","21553.30","-179409.39","21553.30","0.00","21553.30","-200962.69","200962.69","Cierre ejercicio (Dic/Ene)","diario#48 2025-01-30"
